threshold,45,nonmax_suppression,1,neighbourhood,2
u,v
1091.0,1077.0
1094.0,1077.0
1082.0,1033.0
1078.0,1029.0
1155.0,1028.0
1153.0,1021.0
1016.0,1017.0
1156.0,1016.0
1223.0,1016.0
1018.0,1012.0
960.0,1010.0
1226.0,1007.0
1288.0,1004.0
1223.0,1003.0
963.0,1000.0
1285.0,995.0
1345.0,993.0
1289.0,992.0
908.0,985.0
1347.0,984.0
911.0,982.0
1401.0,982.0
861.0,981.0
1648.0,977.0
1455.0,974.0
1649.0,973.0
1400.0,972.0
1454.0,972.0
864.0,971.0
819.0,968.0
1403.0,967.0
860.0,966.0
1454.0,960.0
1450.0,958.0
817.0,957.0
777.0,956.0
1451.0,956.0
1466.0,955.0
780.0,945.0
776.0,941.0
766.0,940.0
1079.0,935.0
1084.0,932.0
1158.0,927.0
1158.0,925.0
1020.0,923.0
1155.0,922.0
1224.0,916.0
1227.0,912.0
960.0,910.0
963.0,906.0
1286.0,906.0
1291.0,906.0
1287.0,903.0
911.0,899.0
1347.0,898.0
908.0,894.0
1350.0,894.0
1401.0,888.0
1405.0,888.0
861.0,887.0
1401.0,886.0
864.0,884.0
1453.0,881.0
820.0,879.0
1456.0,877.0
1469.0,877.0
1470.0,875.0
777.0,868.0
780.0,864.0
1085.0,836.0
1081.0,832.0
1156.0,830.0
1018.0,828.0
1160.0,826.0
1021.0,824.0
1229.0,823.0
1225.0,820.0
965.0,819.0
1288.0,817.0
961.0,815.0
1292.0,813.0
909.0,811.0
1351.0,811.0
912.0,808.0
1348.0,808.0
865.0,805.0
1402.0,805.0
1406.0,802.0
862.0,800.0
1457.0,799.0
818.0,797.0
1454.0,796.0
1471.0,795.0
821.0,794.0
763.0,788.0
778.0,787.0
1082.0,736.0
1160.0,734.0
1735.0,733.0
1022.0,732.0
1086.0,732.0
1157.0,730.0
1226.0,730.0
962.0,728.0
1019.0,728.0
1230.0,727.0
1293.0,727.0
1735.0,725.0
913.0,724.0
965.0,724.0
1289.0,724.0
1348.0,724.0
1406.0,722.0
863.0,721.0
1352.0,721.0
910.0,720.0
1454.0,719.0
1403.0,718.0
822.0,717.0
866.0,717.0
1472.0,717.0
1457.0,715.0
778.0,713.0
819.0,713.0
781.0,710.0
625.0,694.0
1086.0,660.0
866.0,637.0
1020.0,637.0
1289.0,637.0
1352.0,637.0
1403.0,637.0
1457.0,637.0
782.0,636.0
819.0,636.0
911.0,636.0
966.0,636.0
1086.0,636.0
1157.0,636.0
1231.0,636.0
762.0,635.0
1348.0,634.0
1407.0,634.0
1454.0,634.0
1472.0,634.0
863.0,633.0
914.0,633.0
1161.0,633.0
1226.0,633.0
1293.0,633.0
779.0,632.0
822.0,632.0
963.0,632.0
780.0,559.0
1454.0,557.0
1472.0,556.0
783.0,555.0
824.0,555.0
1406.0,553.0
1457.0,553.0
820.0,552.0
864.0,552.0
1348.0,550.0
1402.0,550.0
868.0,549.0
914.0,549.0
1292.0,547.0
1351.0,547.0
911.0,545.0
964.0,545.0
1226.0,543.0
1289.0,543.0
967.0,541.0
1023.0,540.0
1160.0,540.0
1229.0,540.0
1020.0,537.0
237.0,536.0
1157.0,536.0
1082.0,535.0
1087.0,532.0
762.0,484.0
784.0,481.0
781.0,478.0
821.0,476.0
1471.0,474.0
1452.0,472.0
1402.0,470.0
502.0,468.0
869.0,468.0
865.0,466.0
1404.0,466.0
1350.0,464.0
912.0,462.0
1347.0,460.0
916.0,458.0
1288.0,457.0
1291.0,454.0
968.0,453.0
1228.0,451.0
964.0,450.0
1225.0,447.0
1020.0,445.0
1157.0,444.0
1024.0,442.0
1160.0,440.0
1087.0,436.0
629.0,435.0
1083.0,433.0
202.0,411.0
195.0,410.0
201.0,408.0
762.0,407.0
782.0,406.0
567.0,403.0
785.0,401.0
1470.0,398.0
825.0,397.0
822.0,396.0
826.0,395.0
1450.0,395.0
1454.0,395.0
568.0,394.0
822.0,393.0
1449.0,392.0
1453.0,392.0
505.0,387.0
1403.0,387.0
1399.0,383.0
869.0,382.0
1345.0,378.0
916.0,376.0
1348.0,375.0
913.0,373.0
914.0,371.0
1290.0,369.0
1286.0,365.0
964.0,364.0
10.0,363.0
968.0,360.0
1224.0,359.0
1223.0,356.0
1227.0,356.0
1024.0,351.0
1159.0,349.0
1021.0,347.0
1156.0,345.0
1082.0,338.0
762.0,336.0
1086.0,334.0
762.0,333.0
1725.0,331.0
783.0,330.0
787.0,329.0
783.0,327.0
1467.0,320.0
823.0,318.0
1468.0,318.0
1450.0,317.0
827.0,314.0
1447.0,312.0
27.0,308.0
870.0,305.0
1399.0,301.0
868.0,300.0
1346.0,294.0
913.0,291.0
1085.0,290.0
1343.0,290.0
917.0,287.0
1284.0,281.0
1287.0,278.0
1226.0,269.0
1222.0,265.0
1719.0,263.0
1020.0,260.0
785.0,256.0
1024.0,255.0
1154.0,255.0
788.0,251.0
1157.0,251.0
785.0,249.0
1544.0,249.0
1552.0,247.0
1465.0,243.0
1086.0,242.0
827.0,241.0
1081.0,239.0
1443.0,238.0
1448.0,238.0
824.0,236.0
827.0,235.0
1443.0,235.0
1446.0,234.0
1446.0,232.0
97.0,231.0
701.0,227.0
1397.0,226.0
868.0,225.0
871.0,221.0
1394.0,221.0
1396.0,219.0
1394.0,217.0
1340.0,212.0
1339.0,210.0
52.0,208.0
917.0,208.0
1343.0,208.0
1340.0,203.0
211.0,200.0
1285.0,196.0
1281.0,192.0
965.0,190.0
1079.0,190.0
1081.0,189.0
1284.0,189.0
1281.0,188.0
968.0,185.0
1219.0,180.0
1223.0,178.0
129.0,177.0
1221.0,175.0
1223.0,175.0
114.0,174.0
107.0,172.0
1019.0,169.0
72.0,165.0
1156.0,165.0
57.0,161.0
1153.0,160.0
1156.0,159.0
1080.0,152.0
1078.0,148.0
1086.0,145.0
1083.0,143.0
385.0,140.0
375.0,138.0
378.0,137.0
372.0,134.0
375.0,134.0
377.0,133.0
372.0,131.0
422.0,123.0
437.0,123.0
441.0,123.0
435.0,122.0
424.0,119.0
414.0,116.0
240.0,114.0
266.0,114.0
410.0,113.0
416.0,112.0
410.0,110.0
242.0,109.0
214.0,105.0
148.0,95.0
550.0,77.0
244.0,74.0
552.0,74.0
210.0,73.0
550.0,72.0
84.0,69.0
545.0,69.0
84.0,67.0
88.0,67.0
209.0,67.0
548.0,65.0
1082.0,65.0
80.0,63.0
85.0,63.0
85.0,61.0
535.0,60.0
529.0,58.0
532.0,57.0
540.0,57.0
81.0,56.0
70.0,54.0
533.0,54.0
587.0,52.0
585.0,47.0
587.0,44.0
576.0,40.0
579.0,39.0
279.0,38.0
573.0,37.0
577.0,36.0
580.0,36.0
7.0,33.0
242.0,33.0
574.0,33.0
670.0,27.0
250.0,13.0
246.0,10.0
252.0,9.0
219.0,7.0
248.0,6.0
255.0,6.0
275.0,6.0
292.0,6.0
221.0,4.0
227.0,4.0