threshold,60,nonmax_suppression,1,neighbourhood,2
u,v
97.0,253.0
203.0,251.0
21.0,249.0
125.0,249.0
230.0,249.0
40.0,248.0
221.0,247.0
231.0,247.0
36.0,246.0
51.0,244.0
217.0,242.0
161.0,240.0
181.0,237.0
220.0,236.0
11.0,235.0
108.0,234.0
174.0,234.0
77.0,233.0
112.0,233.0
161.0,230.0
50.0,229.0
91.0,229.0
62.0,228.0
244.0,228.0
35.0,225.0
129.0,224.0
33.0,223.0
194.0,222.0
18.0,217.0
90.0,217.0
170.0,217.0
225.0,216.0
250.0,215.0
11.0,214.0
75.0,214.0
116.0,213.0
194.0,213.0
204.0,212.0
69.0,211.0
196.0,211.0
215.0,211.0
79.0,210.0
126.0,208.0
153.0,208.0
40.0,205.0
70.0,204.0
225.0,204.0
180.0,202.0
235.0,202.0
146.0,201.0
101.0,200.0
180.0,200.0
236.0,200.0
34.0,198.0
57.0,197.0
25.0,196.0
105.0,196.0
183.0,194.0
61.0,193.0
70.0,193.0
10.0,189.0
211.0,189.0
171.0,187.0
223.0,185.0
136.0,184.0
133.0,183.0
46.0,182.0
83.0,179.0
129.0,179.0
243.0,179.0
3.0,177.0
166.0,177.0
127.0,173.0
104.0,172.0
214.0,172.0
189.0,171.0
192.0,171.0
87.0,170.0
165.0,170.0
76.0,169.0
228.0,169.0
10.0,168.0
27.0,168.0
42.0,168.0
74.0,168.0
3.0,167.0
172.0,162.0
79.0,159.0
146.0,157.0
190.0,155.0
31.0,154.0
3.0,153.0
53.0,153.0
199.0,150.0
24.0,148.0
122.0,148.0
200.0,148.0
107.0,147.0
86.0,145.0
215.0,144.0
37.0,143.0
230.0,142.0
162.0,140.0
179.0,138.0
145.0,137.0
184.0,136.0
74.0,132.0
198.0,132.0
7.0,127.0
203.0,127.0
234.0,124.0
85.0,122.0
109.0,122.0
19.0,121.0
93.0,121.0
192.0,119.0
238.0,119.0
52.0,118.0
37.0,117.0
39.0,117.0
57.0,117.0
17.0,109.0
221.0,109.0
248.0,109.0
192.0,108.0
182.0,107.0
221.0,107.0
117.0,106.0
216.0,105.0
23.0,103.0
113.0,102.0
50.0,99.0
52.0,99.0
32.0,98.0
91.0,96.0
138.0,96.0
180.0,94.0
243.0,91.0
36.0,89.0
205.0,89.0
163.0,86.0
4.0,84.0
118.0,81.0
243.0,81.0
8.0,80.0
83.0,79.0
83.0,77.0
107.0,76.0
190.0,73.0
4.0,72.0
49.0,71.0
147.0,70.0
208.0,70.0
17.0,69.0
238.0,68.0
217.0,67.0
96.0,66.0
174.0,63.0
121.0,56.0
127.0,55.0
31.0,50.0
22.0,47.0
181.0,46.0
148.0,44.0
203.0,44.0
201.0,43.0
30.0,42.0
81.0,42.0
213.0,42.0
248.0,38.0
18.0,35.0
81.0,34.0
105.0,33.0
50.0,32.0
195.0,23.0
228.0,23.0
124.0,22.0
114.0,21.0
82.0,20.0
122.0,20.0
164.0,14.0
19.0,9.0
161.0,9.0
207.0,9.0
62.0,5.0
143.0,4.0